cell_type,genes
Keratinocytes ,KRT14;KRT10;KRT15;KRT1;KRT5;KRT2
Fibroblasts,DCN;PDGFRA;LUM;COL1A2;APOD;APOE;ABCA6;C3;FBN1;MFAP5;COL11A1;POSTN;EDNRA;COL6A5;COL6A6;CCL2;CCL19
Schwann cells,MPZ;MBP;GLDN;TJP1;FXYD6;GATM
Endothelial cells,VWF;PECAM1;SELE;CLDN5;CDH5;ACKR1;GPIHBP1;HEY1;CD36;FABP4;SEMA3G;CXCL12;SLC9A3R2;SLC12A2;SLC6A6;ATP13A3;NR2F2;SELP;CCL23
Vascular mural cells,ACTA2;MYL9;TAGLN;RGS5;PDGFRB;NOTCH3;RERGL;CNN1;CD36;FABP4
T cells,CD3D;CD3E;CD3G;CD40LG;CD84;CCR6;CSF2;IL13;IL22;TNFRSF4;TNFSF14;NKG7;GZMA;GZMK
Macrophages/Dendritic cells ,AIF1;CD40;CD68;LYZ;ITGAX
Melanocytes,PMEL;MLANA;TYRP1;DCT;APOE;FDFT1;PHLDA1;RNASE1;CD68;CD1C;CD1A;MRC1
Sweat gland cells,AQP5;MUCL1;CA2;SCGB1D2;SCGB2A2;SCGB1B2P
B cells ,CD79A;CD79B;MS4A1
Mast cells ,TPSB2;TPSAB1
Neuronal cells,NRXN1;SCN7A;ANK3;SEMA3B;CADM1;CADM3
NK cells,XCL2;NKG7
